"","Transect","Elev","Plot","DOY","Field_week","Soilmo_av","Species","Veg","Buds","Flowers","Fruit","Disp","Plants_obs","Leaves_obs","X0","X1","X5","X10","X25","X50","X75","X100","Year","percleavesdamaged","apparentleafdamage","PlantID","Plot.ID","Topography","gdd_2016","gdd_2017","gdd_2018","Cover","sdddoy_2016","sdddoy_2017","sdddoy_2018","gdd","SDDDOY"
"1844","PA",1901,"6",194,NA,0.093,"LUPARC",NA,4,0,0,0,NA,NA,17,0,0,0,0,0,0,0,"2017",0,0,"Y23","PA-1901-6","Slope",163,185,146,99.84,179,182,179,185,182
"1849","GB",1668,"9",198,NA,0.209333333,"LUPARC",NA,3,0,0,0,NA,NA,13,1,1,0,0,0,0,0,"2017",0.133333333333333,0.00233333333333333,"R12","GB-1668-9","Cove",320,382,356,68.12,190,186,184,382,186
"1850","GB",1668,"9",198,NA,0.209333333,"LUPARC",NA,3,0,0,0,NA,NA,10,0,0,0,0,0,0,0,"2017",0,0,"R22","GB-1668-9","Cove",320,382,356,68.12,190,186,184,382,186
"1851","GB",1668,"9",198,NA,0.209333333,"LUPARC",NA,3,0,0,0,NA,NA,10,0,0,1,1,0,0,0,"2017",0.166666666666667,0.0208333333333333,"B10","GB-1668-9","Cove",320,382,356,68.12,190,186,184,382,186
"1852","GB",1668,"9",198,NA,0.209333333,"LUPARC",NA,3,0,0,0,NA,NA,11,1,0,0,0,0,0,0,"2017",0.0833333333333333,0.000416666666666667,"W3","GB-1668-9","Cove",320,382,356,68.12,190,186,184,382,186
"1853","GB",1668,"1",198,NA,0.193,"LUPARC",NA,2,0,0,0,NA,NA,4,0,0,0,0,0,0,0,"2017",0,0,"W6","GB-1668-1","Ridge ",320,382,356,11.18,184,181,166,382,181
"1854","GB",1668,"1",198,NA,0.193,"LUPARC",NA,2,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"R11","GB-1668-1","Ridge ",320,382,356,11.18,184,181,166,382,181
"1855","GB",1668,"1",198,NA,0.193,"LUPARC",NA,2,0,0,0,NA,NA,6,0,0,0,0,0,0,0,"2017",0,0,"R3","GB-1668-1","Ridge ",320,382,356,11.18,184,181,166,382,181
"1856","GB",1668,"1",198,NA,0.193,"LUPARC",NA,2,0,0,0,NA,NA,4,0,1,1,0,0,0,0,"2017",0.333333333333333,0.0175,"B2","GB-1668-1","Ridge ",320,382,356,11.18,184,181,166,382,181
"1873","GB",1668,"8",198,NA,0.258,"LUPARC",NA,1,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"W9","GB-1668-8","Cove",320,382,356,59.54,190,188,183,382,188
"1874","GB",1668,"8",198,NA,0.258,"LUPARC",NA,1,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"R41","GB-1668-8","Cove",320,382,356,59.54,190,188,183,382,188
"1875","GB",1668,"8",198,NA,0.258,"LUPARC",NA,1,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"W11","GB-1668-8","Cove",320,382,356,59.54,190,188,183,382,188
"1876","GB",1668,"8",198,NA,0.258,"LUPARC",NA,1,0,0,0,NA,NA,7,1,0,0,0,0,0,0,"2017",0.125,0.000625,"W18","GB-1668-8","Cove",320,382,356,59.54,190,188,183,382,188
"1877","GB",1668,"8",198,NA,0.258,"LUPARC",NA,1,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"B6","GB-1668-8","Cove",320,382,356,59.54,190,188,183,382,188
"1878","GB",1668,"7",198,NA,0.26,"LUPARC",NA,0,0,0,0,NA,NA,2,0,0,0,0,0,0,0,"2017",0,0,"R17","GB-1668-7","Cove",320,382,356,65.78,190,188,185,382,188
"1879","GB",1668,"7",198,NA,0.26,"LUPARC",NA,0,0,0,0,NA,NA,9,0,2,0,0,0,0,0,"2017",0.181818181818182,0.00545454545454545,"R13","GB-1668-7","Cove",320,382,356,65.78,190,188,185,382,188
"1880","GB",1668,"7",198,NA,0.26,"LUPARC",NA,0,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"R16","GB-1668-7","Cove",320,382,356,65.78,190,188,185,382,188
"1891","GB",1668,"5",198,NA,0.189,"LUPARC",NA,4,0,0,0,NA,NA,8,0,0,0,0,0,0,0,"2017",0,0,"W4","GB-1668-5","Slope",320,382,356,34.06,182,178,169,382,178
"1892","GB",1668,"5",198,NA,0.189,"LUPARC",NA,4,0,0,0,NA,NA,8,0,0,0,0,0,0,0,"2017",0,0,"R10","GB-1668-5","Slope",320,382,356,34.06,182,178,169,382,178
"1893","GB",1668,"5",198,NA,0.189,"LUPARC",NA,4,0,0,0,NA,NA,8,0,0,0,0,0,0,0,"2017",0,0,"B7","GB-1668-5","Slope",320,382,356,34.06,182,178,169,382,178
"1894","GB",1668,"5",198,NA,0.189,"LUPARC",NA,4,0,0,0,NA,NA,10,0,0,0,0,0,0,0,"2017",0,0,"R20","GB-1668-5","Slope",320,382,356,34.06,182,178,169,382,178
"1895","GB",1668,"3",198,NA,0.112,"LUPARC",NA,1,0,0,0,NA,NA,5,0,0,0,0,0,0,0,"2017",0,0,"R19","GB-1668-3","Ridge ",320,382,356,28.6,181,174,165,382,174
"1896","GB",1668,"3",198,NA,0.112,"LUPARC",NA,1,0,0,0,NA,NA,20,0,0,0,0,0,0,0,"2017",0,0,"Y24","GB-1668-3","Ridge ",320,382,356,28.6,181,174,165,382,174
"1897","GB",1668,"3",198,NA,0.112,"LUPARC",NA,1,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"R29","GB-1668-3","Ridge ",320,382,356,28.6,181,174,165,382,174
"1934","GB",1668,"6",198,NA,0.055966667,"LUPARC",NA,5,0,0,0,NA,NA,8,0,0,0,0,0,0,0,"2017",0,0,"R2","GB-1668-6","Slope",320,382,356,20.28,184,181,170,382,181
"1935","GB",1668,"6",198,NA,0.055966667,"LUPARC",NA,5,0,0,0,NA,NA,10,0,0,0,0,0,0,0,"2017",0,0,"R4","GB-1668-6","Slope",320,382,356,20.28,184,181,170,382,181
"1936","GB",1668,"6",198,NA,0.055966667,"LUPARC",NA,5,0,0,0,NA,NA,12,0,0,0,0,0,0,0,"2017",0,0,"R30","GB-1668-6","Slope",320,382,356,20.28,184,181,170,382,181
"1937","GB",1668,"6",198,NA,0.055966667,"LUPARC",NA,5,0,0,0,NA,NA,10,1,1,0,0,0,0,0,"2017",0.166666666666667,0.00291666666666667,"R23","GB-1668-6","Slope",320,382,356,20.28,184,181,170,382,181
"1938","GB",1668,"6",198,NA,0.055966667,"LUPARC",NA,5,0,0,0,NA,NA,7,0,1,0,0,0,0,0,"2017",0.125,0.00375,"R14","GB-1668-6","Slope",320,382,356,20.28,184,181,170,382,181
"1960","GB",1668,"4",198,NA,0.145,"LUPARC",NA,2,0,0,0,NA,NA,17,0,1,0,0,0,0,0,"2017",0.0555555555555556,0.00166666666666667,"R13","GB-1668-4","Slope",320,382,356,27.56,183,182,172,382,182
"1961","GB",1668,"4",198,NA,0.145,"LUPARC",NA,2,0,0,0,NA,NA,11,0,0,0,0,0,0,0,"2017",0,0,"R6","GB-1668-4","Slope",320,382,356,27.56,183,182,172,382,182
"1962","GB",1668,"4",198,NA,0.145,"LUPARC",NA,2,0,0,0,NA,NA,4,1,1,0,0,0,0,0,"2017",0.333333333333333,0.00583333333333333,"W7","GB-1668-4","Slope",320,382,356,27.56,183,182,172,382,182
"1971","GB",1940,"3",199,NA,0.038333333,"LUPARC",NA,3,0,0,0,NA,NA,6,0,3,2,2,2,0,0,"2017",0.6,0.0893333333333333,"W98","GB-1940-3","Ridge ",337,346,313,92.56,183,182,170,346,182
"1972","GB",1940,"3",199,NA,0.038333333,"LUPARC",NA,3,0,0,0,NA,NA,4,0,4,2,0,0,0,0,"2017",0.6,0.027,"W61","GB-1940-3","Ridge ",337,346,313,92.56,183,182,170,346,182
"1973","GB",1940,"3",199,NA,0.038333333,"LUPARC",NA,3,0,0,0,NA,NA,6,0,2,1,0,6,0,0,"2017",0.6,0.159,"W68","GB-1940-3","Ridge ",337,346,313,92.56,183,182,170,346,182
"1974","GB",1940,"5",199,NA,0.058333333,"LUPARC",NA,0,0,0,0,NA,NA,0,0,1,2,1,0,0,0,"2017",1,0.08875,"W84","GB-1940-5","Slope",337,346,313,85.02,180,178,170,346,178
"1975","GB",1940,"4",199,NA,0.223,"LUPARC",NA,0,0,0,0,NA,NA,3,0,0,0,0,0,0,0,"2017",0,0,"W99","GB-1940-4","Slope",337,346,313,93.6,176,167,124,346,167
"1976","GB",1940,"4",199,NA,0.223,"LUPARC",NA,0,0,0,0,NA,NA,2,0,1,2,0,0,0,0,"2017",0.6,0.036,"W105","GB-1940-4","Slope",337,346,313,93.6,176,167,124,346,167
"1977","GB",1940,"4",199,NA,0.223,"LUPARC",NA,0,0,0,0,NA,NA,5,0,0,0,0,0,0,0,"2017",0,0,"W90","GB-1940-4","Slope",337,346,313,93.6,176,167,124,346,167
"2073","GB",1940,"2",199,NA,0.130333333,"LUPARC",NA,0,0,0,0,NA,NA,10,0,0,1,2,0,0,0,"2017",0.230769230769231,0.0326923076923077,"W94","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,346,187
"2074","GB",1940,"2",199,NA,0.130333333,"LUPARC",NA,0,0,0,0,NA,NA,4,0,2,1,0,0,0,0,"2017",0.428571428571429,0.0192857142857143,"W47","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,346,187
"2075","GB",1940,"2",199,NA,0.130333333,"LUPARC",NA,0,0,0,0,NA,NA,6,0,1,1,2,0,0,0,"2017",0.4,0.0455,"W43","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,346,187
"2076","GB",1940,"2",199,NA,0.130333333,"LUPARC",NA,0,0,0,0,NA,NA,3,0,1,0,0,0,0,0,"2017",0.25,0.0075,"W109","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,346,187
"2084","GB",1940,"9",199,NA,0.092666667,"LUPARC",NA,0,0,0,0,NA,NA,11,0,1,0,0,0,0,0,"2017",0.0833333333333333,0.0025,"W65","GB-1940-9","Cove",337,346,313,56.94,182,180,168,346,180
"2085","GB",1940,"9",199,NA,0.092666667,"LUPARC",NA,0,0,0,0,NA,NA,6,0,2,1,1,0,0,0,"2017",0.4,0.031,"W64","GB-1940-9","Cove",337,346,313,56.94,182,180,168,346,180
"2086","GB",1940,"9",199,NA,0.092666667,"LUPARC",NA,0,0,0,0,NA,NA,5,0,0,0,0,0,1,0,"2017",0.166666666666667,0.104166666666667,"W96","GB-1940-9","Cove",337,346,313,56.94,182,180,168,346,180
"2087","GB",1940,"9",199,NA,0.092666667,"LUPARC",NA,0,0,0,0,NA,NA,6,0,0,0,1,0,0,0,"2017",0.142857142857143,0.025,"W74","GB-1940-9","Cove",337,346,313,56.94,182,180,168,346,180
"2109","GB",1940,"6",199,NA,0.121333333,"LUPARC",NA,1,0,0,0,NA,NA,9,0,4,2,2,0,0,0,"2017",0.470588235294118,0.0364705882352941,"W89","GB-1940-6","Slope",337,346,313,68.38,201,185,169,346,185
"2110","GB",1940,"6",199,NA,0.121333333,"LUPARC",NA,1,0,0,0,NA,NA,4,0,4,1,0,2,1,0,"2017",0.666666666666667,0.130833333333333,"W107","GB-1940-6","Slope",337,346,313,68.38,201,185,169,346,185
"2111","GB",1940,"6",199,NA,0.121333333,"LUPARC",NA,1,0,0,0,NA,NA,14,0,0,0,0,0,0,0,"2017",0,0,"W103","GB-1940-6","Slope",337,346,313,68.38,201,185,169,346,185
"2112","GB",1940,"6",199,NA,0.121333333,"LUPARC",NA,1,0,0,0,NA,NA,3,1,3,1,4,3,0,0,"2017",0.8,0.133,"W78","GB-1940-6","Slope",337,346,313,68.38,201,185,169,346,185
"2129","GB",1940,"8",199,NA,0.051,"LUPARC",NA,3,0,0,0,NA,NA,9,0,5,2,0,0,0,0,"2017",0.4375,0.01875,"W101","GB-1940-8","Cove",337,346,313,79.3,182,180,171,346,180
"2130","GB",1940,"8",199,NA,0.051,"LUPARC",NA,3,0,0,0,NA,NA,10,0,1,0,1,0,0,0,"2017",0.166666666666667,0.0170833333333333,"W86","GB-1940-8","Cove",337,346,313,79.3,182,180,171,346,180
"2131","GB",1940,"8",199,NA,0.051,"LUPARC",NA,3,0,0,0,NA,NA,5,0,1,2,4,2,0,0,"2017",0.642857142857143,0.116428571428571,"W85","GB-1940-8","Cove",337,346,313,79.3,182,180,171,346,180
"2132","GB",1940,"8",199,NA,0.051,"LUPARC",NA,3,0,0,0,NA,NA,1,0,3,2,4,5,0,0,"2017",0.933333333333333,0.187666666666667,"W95","GB-1940-8","Cove",337,346,313,79.3,182,180,171,346,180
"2133","GB",1809,"3",200,NA,0.161,"LUPARC",NA,4,0,0,0,NA,NA,15,0,0,0,0,0,0,0,"2017",0,0,"B81","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,361,180
"2134","GB",1809,"3",200,NA,0.161,"LUPARC",NA,4,0,0,0,NA,NA,5,1,0,0,0,0,0,0,"2017",0.166666666666667,0.000833333333333333,"B33","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,361,180
"2135","GB",1809,"3",200,NA,0.161,"LUPARC",NA,4,0,0,0,NA,NA,4,0,0,0,0,0,0,0,"2017",0,0,"B91","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,361,180
"2136","GB",1809,"3",200,NA,0.161,"LUPARC",NA,4,0,0,0,NA,NA,10,0,2,1,0,0,0,0,"2017",0.230769230769231,0.0103846153846154,"B116","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,361,180
"2137","GB",1809,"3",200,NA,0.161,"LUPARC",NA,4,0,0,0,NA,NA,1,0,0,0,0,0,0,0,"2017",0,0,"B65","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,361,180
"2138","GB",1809,"3",200,NA,0.161,"LUPARC",NA,4,0,0,0,NA,NA,15,0,5,0,0,1,0,0,"2017",0.285714285714286,0.025,"B40","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,361,180
"2144","GB",1740,"7",200,NA,0.131,"LUPARC",NA,6,1,0,0,NA,NA,16,0,0,0,0,0,0,0,"2017",0,0,"W1","GB-1740-7","Cove",352,366,328,47.58,183,176,169,366,176
"2145","GB",1740,"7",200,NA,0.131,"LUPARC",NA,6,1,0,0,NA,NA,12,0,0,0,0,0,0,0,"2017",0,0,"W88","GB-1740-7","Cove",352,366,328,47.58,183,176,169,366,176
"2146","GB",1740,"7",200,NA,0.131,"LUPARC",NA,6,1,0,0,NA,NA,17,2,0,0,0,0,0,0,"2017",0.105263157894737,0.000526315789473684,"R1","GB-1740-7","Cove",352,366,328,47.58,183,176,169,366,176
"2147","GB",1740,"7",200,NA,0.131,"LUPARC",NA,6,1,0,0,NA,NA,1,24,2,0,0,0,0,0,"2017",0.962962962962963,0.00666666666666667,"W77","GB-1740-7","Cove",352,366,328,47.58,183,176,169,366,176
"2218","GB",1809,"4",200,NA,0.072333333,"LUPARC",NA,2,0,0,0,NA,NA,9,0,1,0,0,0,0,0,"2017",0.1,0.003,"B90","GB-1809-4","Slope",340,361,314,64.74,182,176,176,361,176
"2219","GB",1809,"4",200,NA,0.072333333,"LUPARC",NA,2,0,0,0,NA,NA,7,0,1,0,0,0,0,0,"2017",0.125,0.00375,"B44","GB-1809-4","Slope",340,361,314,64.74,182,176,176,361,176
"2220","GB",1809,"4",200,NA,0.072333333,"LUPARC",NA,2,0,0,0,NA,NA,10,0,4,1,0,0,0,0,"2017",0.333333333333333,0.013,"B98","GB-1809-4","Slope",340,361,314,64.74,182,176,176,361,176
"2231","GB",1809,"6",200,NA,0.132666667,"LUPARC",NA,2,0,0,0,NA,NA,11,1,0,0,0,0,0,0,"2017",0.0833333333333333,0.000416666666666667,"R488","GB-1809-6","Slope",340,361,314,22.62,181,175,162,361,175
"2232","GB",1809,"6",200,NA,0.132666667,"LUPARC",NA,2,0,0,0,NA,NA,8,1,0,0,0,0,0,0,"2017",0.111111111111111,0.000555555555555556,"B79","GB-1809-6","Slope",340,361,314,22.62,181,175,162,361,175
"2233","GB",1809,"6",200,NA,0.132666667,"LUPARC",NA,2,0,0,0,NA,NA,20,0,0,0,0,0,0,0,"2017",0,0,"B260","GB-1809-6","Slope",340,361,314,22.62,181,175,162,361,175
"2244","GB",1740,"5",200,NA,0.198,"LUPARC",NA,2,0,0,0,NA,NA,8,0,0,0,0,0,0,0,"2017",0,0,"B9","GB-1740-5","Slope",352,366,328,71.76,188,188,188,366,188
"2245","GB",1740,"5",200,NA,0.198,"LUPARC",NA,2,0,0,0,NA,NA,10,0,0,0,0,0,0,0,"2017",0,0,"B17","GB-1740-5","Slope",352,366,328,71.76,188,188,188,366,188
"2246","GB",1740,"5",200,NA,0.198,"LUPARC",NA,2,0,0,0,NA,NA,14,0,0,0,0,0,0,0,"2017",0,0,"B60","GB-1740-5","Slope",352,366,328,71.76,188,188,188,366,188
"2247","GB",1740,"5",200,NA,0.198,"LUPARC",NA,2,0,0,0,NA,NA,16,0,0,0,0,0,0,0,"2017",0,0,"B103","GB-1740-5","Slope",352,366,328,71.76,188,188,188,366,188
"2248","GB",1740,"5",200,NA,0.198,"LUPARC",NA,2,0,0,0,NA,NA,11,1,0,0,0,0,0,0,"2017",0.0833333333333333,0.000416666666666667,"W79","GB-1740-5","Slope",352,366,328,71.76,188,188,188,366,188
"2253","GB",1740,"3",200,NA,0.135333333,"LUPARC",NA,8,0,0,0,NA,NA,17,0,2,1,0,0,0,0,"2017",0.15,0.00675,"B10","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,366,180
"2254","GB",1740,"3",200,NA,0.135333333,"LUPARC",NA,8,0,0,0,NA,NA,10,0,1,0,0,0,0,0,"2017",0.0909090909090909,0.00272727272727273,"B6","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,366,180
"2255","GB",1740,"3",200,NA,0.135333333,"LUPARC",NA,8,0,0,0,NA,NA,11,0,2,1,1,0,0,0,"2017",0.266666666666667,0.0206666666666667,"B5","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,366,180
"2256","GB",1740,"3",200,NA,0.135333333,"LUPARC",NA,8,0,0,0,NA,NA,19,2,4,1,1,0,0,0,"2017",0.296296296296296,0.0140740740740741,"B15","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,366,180
"2273","GB",1740,"9",200,NA,0.442666667,"LUPARC",NA,1,0,0,0,NA,NA,9,0,0,0,0,0,0,0,"2017",0,0,"W8","GB-1740-9","Cove",352,366,328,72.54,202,177,170,366,177
"2274","GB",1740,"9",200,NA,0.442666667,"LUPARC",NA,1,0,0,0,NA,NA,11,0,0,0,0,0,0,0,"2017",0,0,"B55","GB-1740-9","Cove",352,366,328,72.54,202,177,170,366,177
"2275","GB",1740,"1",200,NA,0.365333333,"LUPARC",NA,4,0,0,0,NA,NA,23,0,1,0,0,0,0,0,"2017",0.0416666666666667,0.00125,"B13","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,366,183
"2276","GB",1740,"1",200,NA,0.365333333,"LUPARC",NA,4,0,0,0,NA,NA,22,1,1,0,0,0,0,0,"2017",0.0833333333333333,0.00145833333333333,"B59","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,366,183
"2277","GB",1740,"1",200,NA,0.365333333,"LUPARC",NA,4,0,0,0,NA,NA,8,0,0,0,0,0,0,0,"2017",0,0,"B24","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,366,183
"2278","GB",1740,"1",200,NA,0.365333333,"LUPARC",NA,4,0,0,0,NA,NA,14,0,0,0,0,0,0,0,"2017",0,0,"B25","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,366,183
"2279","GB",1740,"1",200,NA,0.365333333,"LUPARC",NA,4,0,0,0,NA,NA,5,0,0,0,0,0,0,0,"2017",0,0,"B8","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,366,183
"2313","GB",1740,"2",200,NA,0.112,"LUPARC",NA,5,0,0,0,NA,NA,20,0,1,1,1,0,0,0,"2017",0.130434782608696,0.0121739130434783,"W108","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,366,184
"2314","GB",1740,"2",200,NA,0.112,"LUPARC",NA,5,0,0,0,NA,NA,19,0,3,1,0,0,0,0,"2017",0.173913043478261,0.00717391304347826,"W110","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,366,184
"2315","GB",1740,"2",200,NA,0.112,"LUPARC",NA,5,0,0,0,NA,NA,5,0,1,0,0,0,0,0,"2017",0.166666666666667,0.005,"B106","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,366,184
"2316","GB",1740,"2",200,NA,0.112,"LUPARC",NA,5,0,0,0,NA,NA,2,0,0,0,1,0,0,0,"2017",0.333333333333333,0.0583333333333333,"B110","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,366,184
"2317","GB",1740,"2",200,NA,0.112,"LUPARC",NA,5,0,0,0,NA,NA,12,0,0,0,0,0,0,0,"2017",0,0,"B114","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,366,184
"2323","GB",1809,"7",200,NA,0.465,"LUPARC",NA,2,0,0,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"B51","GB-1809-7","Cove",340,361,314,81.64,178,171,162,361,171
"2324","GB",1809,"7",200,NA,0.465,"LUPARC",NA,2,0,0,0,NA,NA,10,1,3,0,0,0,0,0,"2017",0.285714285714286,0.00678571428571429,"B75","GB-1809-7","Cove",340,361,314,81.64,178,171,162,361,171
"2325","GB",1809,"7",200,NA,0.465,"LUPARC",NA,2,0,0,0,NA,NA,12,0,0,0,0,0,0,0,"2017",0,0,"B100","GB-1809-7","Cove",340,361,314,81.64,178,171,162,361,171
"2326","GB",1809,"7",200,NA,0.465,"LUPARC",NA,2,0,0,0,NA,NA,11,0,0,0,0,0,0,0,"2017",0,0,"B29","GB-1809-7","Cove",340,361,314,81.64,178,171,162,361,171
"2330","GB",1809,"9",200,NA,0.261333333,"LUPARC",NA,6,0,0,0,NA,NA,15,0,0,0,1,0,0,0,"2017",0.0625,0.0109375,"B76","GB-1809-9","Cove",340,361,314,59.28,184,178,168,361,178
"2331","GB",1809,"9",200,NA,0.261333333,"LUPARC",NA,6,0,0,0,NA,NA,11,0,0,0,0,0,0,0,"2017",0,0,"B68","GB-1809-9","Cove",340,361,314,59.28,184,178,168,361,178
"2332","GB",1809,"9",200,NA,0.261333333,"LUPARC",NA,6,0,0,0,NA,NA,17,0,1,0,0,0,0,0,"2017",0.0555555555555556,0.00166666666666667,"B66","GB-1809-9","Cove",340,361,314,59.28,184,178,168,361,178
"2333","GB",1740,"4",200,NA,0.110666667,"LUPARC",NA,10,1,0,0,NA,NA,16,0,0,1,0,0,0,0,"2017",0.0588235294117647,0.00441176470588235,"B74","GB-1740-4","Slope",352,366,328,67.6,187,184,176,366,184
"2334","GB",1740,"4",200,NA,0.110666667,"LUPARC",NA,10,1,0,0,NA,NA,14,0,1,1,0,0,0,0,"2017",0.125,0.0065625,"B7","GB-1740-4","Slope",352,366,328,67.6,187,184,176,366,184
"2335","GB",1740,"4",200,NA,0.110666667,"LUPARC",NA,10,1,0,0,NA,NA,20,0,0,0,0,0,0,0,"2017",0,0,"B43","GB-1740-4","Slope",352,366,328,67.6,187,184,176,366,184
"2336","GB",1740,"4",200,NA,0.110666667,"LUPARC",NA,10,1,0,0,NA,NA,15,0,0,0,0,0,0,0,"2017",0,0,"B16","GB-1740-4","Slope",352,366,328,67.6,187,184,176,366,184
"2354","GB",1740,"6",200,NA,0.082666667,"LUPARC",NA,9,0,0,0,NA,NA,17,0,0,1,0,0,0,0,"2017",0.0555555555555556,0.00416666666666667,"B42","GB-1740-6","Slope",352,366,328,74.88,184,182,175,366,182
"2355","GB",1740,"6",200,NA,0.082666667,"LUPARC",NA,9,0,0,0,NA,NA,14,2,3,1,0,0,0,0,"2017",0.3,0.00875,"B113","GB-1740-6","Slope",352,366,328,74.88,184,182,175,366,182
"2356","GB",1740,"6",200,NA,0.082666667,"LUPARC",NA,9,0,0,0,NA,NA,11,0,0,2,1,0,0,0,"2017",0.214285714285714,0.0232142857142857,"B59","GB-1740-6","Slope",352,366,328,74.88,184,182,175,366,182
"2357","GB",1740,"6",200,NA,0.082666667,"LUPARC",NA,9,0,0,0,NA,NA,20,0,1,0,0,0,0,0,"2017",0.0476190476190476,0.00142857142857143,"B3","GB-1740-6","Slope",352,366,328,74.88,184,182,175,366,182
"2358","GB",1740,"8",200,NA,0.394333333,"LUPARC",NA,1,0,0,0,NA,NA,6,1,0,0,0,0,0,0,"2017",0.142857142857143,0.000714285714285714,"B14","GB-1740-8","Cove",352,366,328,85.54,189,187,181,366,187
"2359","GB",1740,"8",200,NA,0.394333333,"LUPARC",NA,1,0,0,0,NA,NA,12,1,0,0,0,0,0,0,"2017",0.0769230769230769,0.000384615384615385,"B21","GB-1740-8","Cove",352,366,328,85.54,189,187,181,366,187
"2360","GB",1740,"8",200,NA,0.394333333,"LUPARC",NA,1,0,0,0,NA,NA,12,0,0,0,0,0,0,0,"2017",0,0,"B20","GB-1740-8","Cove",352,366,328,85.54,189,187,181,366,187
"2398","GB",1809,"5",200,NA,0.123,"LUPARC",NA,0,5,NA,0,NA,NA,18,0,0,0,0,0,0,0,"2017",0,0,"Y309","GB-1809-5","Slope",340,361,314,23.92,183,181,161,361,181
"2399","GB",1809,"5",200,NA,0.123,"LUPARC",NA,0,5,NA,0,NA,NA,10,0,1,1,0,0,0,0,"2017",0.166666666666667,0.00875,"R502","GB-1809-5","Slope",340,361,314,23.92,183,181,161,361,181
"2400","GB",1809,"5",200,NA,0.123,"LUPARC",NA,0,5,NA,0,NA,NA,14,1,3,0,1,0,0,0,"2017",0.263157894736842,0.0142105263157895,"W252","GB-1809-5","Slope",340,361,314,23.92,183,181,161,361,181
"2401","GB",1809,"5",200,NA,0.123,"LUPARC",NA,0,5,NA,0,NA,NA,8,0,1,0,1,0,0,0,"2017",0.2,0.0205,"B537","GB-1809-5","Slope",340,361,314,23.92,183,181,161,361,181
"2402","GB",1809,"5",200,NA,0.123,"LUPARC",NA,0,5,NA,0,NA,NA,7,0,0,0,0,0,0,0,"2017",0,0,"W351","GB-1809-5","Slope",340,361,314,23.92,183,181,161,361,181
"2447","GB",1809,"8",200,NA,0.464333333,"LUPARC",NA,0,0,0,0,NA,NA,6,0,0,0,0,0,0,0,"2017",0,0,"B70","GB-1809-8","Cove",340,361,314,78,184,178,170,361,178
"2448","GB",1809,"8",200,NA,0.464333333,"LUPARC",NA,0,0,0,0,NA,NA,8,0,0,0,0,0,0,0,"2017",0,0,"B87","GB-1809-8","Cove",340,361,314,78,184,178,170,361,178
"2449","GB",1809,"8",200,NA,0.464333333,"LUPARC",NA,0,0,0,0,NA,NA,8,0,0,0,1,0,0,0,"2017",0.111111111111111,0.0194444444444444,"B105","GB-1809-8","Cove",340,361,314,78,184,178,170,361,178
"2467","GB",2020,"5",201,NA,0.184666667,"LUPARC",NA,0,0,0,0,NA,NA,10,0,0,0,0,0,0,0,"2017",0,0,"B95","GB-2020-5","Slope",314,331,290,95.16,202,190,176,331,190
"2468","GB",2020,"5",201,NA,0.184666667,"LUPARC",NA,0,0,0,0,NA,NA,12,0,0,0,0,0,0,0,"2017",0,0,"B30","GB-2020-5","Slope",314,331,290,95.16,202,190,176,331,190
"2469","GB",2020,"5",201,NA,0.184666667,"LUPARC",NA,0,0,0,0,NA,NA,18,1,1,0,0,0,0,0,"2017",0.1,0.00175,"B107","GB-2020-5","Slope",314,331,290,95.16,202,190,176,331,190
